Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R701,1k,R_0402_1005Metric,69.672200,-78.536800,180.000000,top
R702,1k,R_0402_1005Metric,77.038200,-78.536800,180.000000,top
R703,10k,R_0402_1005Metric,223.405700,-75.171300,90.000000,top
R704,1k,R_0402_1005Metric,225.437700,-75.171300,90.000000,top
R705,1k,R_0402_1005Metric,73.228200,-78.536800,180.000000,top
R706,1k,R_0402_1005Metric,80.721200,-78.536800,180.000000,top
R707,1k,R_0402_1005Metric,230.390700,-90.601800,90.000000,top
R708,1k,R_0402_1005Metric,237.312200,-90.601800,90.000000,top
R709,1k,R_0402_1005Metric,67.894200,-73.329800,270.000000,top
R710,1k,R_0402_1005Metric,75.514200,-73.329800,270.000000,top
R711,1k,R_0402_1005Metric,74.498200,-73.329800,270.000000,top
R712,1k,R_0402_1005Metric,82.118200,-73.329800,270.000000,top
R713,10k,R_0402_1005Metric,226.517200,-75.171300,90.000000,top
R714,10k,R_0402_1005Metric,226.072700,-67.614800,90.000000,top
R719,1k,R_0402_1005Metric,228.549200,-75.171300,90.000000,top
R720,1k,R_0402_1005Metric,228.104700,-67.614800,90.000000,top
R721,1k,R_0402_1005Metric,242.709700,-94.475300,0.000000,top
R722,22,R_0402_1005Metric,197.053200,-71.170800,90.000000,top
R723,22,R_0402_1005Metric,200.736200,-71.170800,90.000000,top
R724,22,R_0402_1005Metric,208.102200,-71.170800,90.000000,top
R725,22,R_0402_1005Metric,215.468200,-71.170800,90.000000,top
R726,1k,R_0402_1005Metric,198.577200,-70.789800,0.000000,top
R727,1k,R_0402_1005Metric,202.260200,-70.789800,0.000000,top
R728,1k,R_0402_1005Metric,209.626200,-70.789800,0.000000,top
R729,1k,R_0402_1005Metric,216.992200,-70.662800,0.000000,top
R730,1k,R_0402_1005Metric,84.531200,-78.536800,180.000000,top
R731,1k,R_0402_1005Metric,88.087200,-78.536800,180.000000,top
R732,1k,R_0402_1005Metric,83.134200,-73.329800,270.000000,top
R733,1k,R_0402_1005Metric,89.738200,-73.329800,270.000000,top
R734,22,R_0402_1005Metric,193.370200,-71.147800,90.000000,top
R735,22,R_0402_1005Metric,204.419200,-71.170800,90.000000,top
R736,22,R_0402_1005Metric,211.785200,-71.170800,90.000000,top
R737,22,R_0402_1005Metric,222.834200,-71.170800,90.000000,top
R738,22,R_0402_1005Metric,219.151200,-71.170800,90.000000,top
R739,1k,R_0402_1005Metric,194.894200,-70.789800,0.000000,top
R740,1k,R_0402_1005Metric,205.943200,-70.789800,0.000000,top
R741,1k,R_0402_1005Metric,213.309200,-70.662800,0.000000,top
R742,1k,R_0402_1005Metric,224.358200,-70.662800,0.000000,top
R743,1k,R_0402_1005Metric,220.675200,-70.662800,0.000000,top
R746,1k,R_0402_1005Metric,91.920200,-78.536800,180.000000,top
R747,1k,R_0402_1005Metric,95.453200,-78.536800,180.000000,top
R748,1k,R_0402_1005Metric,98.755200,-94.284800,180.000000,top
R749,1k,R_0402_1005Metric,117.424200,-94.284800,180.000000,top
R750,1k,R_0402_1005Metric,90.754200,-73.329800,270.000000,top
R751,1k,R_0402_1005Metric,97.358200,-73.329800,270.000000,top
R754,1k,R_0402_1005Metric,108.153200,-94.284800,180.000000,top
R755,1k,R_0402_1005Metric,126.822200,-94.284800,180.000000,top
R801,470,R_0402_1005Metric,60.528200,-114.604800,0.000000,top
R802,470,R_0402_1005Metric,55.194200,-114.604800,0.000000,top
R803,470,R_0402_1005Metric,49.860200,-114.604800,0.000000,top
R804,470,R_0402_1005Metric,44.526200,-114.604800,0.000000,top
R805,1k,R_0402_1005Metric,58.496200,-114.604800,0.000000,top
R806,1k,R_0402_1005Metric,53.162200,-114.604800,0.000000,top
R807,1k,R_0402_1005Metric,47.828200,-114.604800,0.000000,top
R808,1k,R_0402_1005Metric,42.494200,-114.604800,0.000000,top
R809,22,R_0402_1005Metric,94.973140,-87.790020,270.000000,top
R810,1k,R_0402_1005Metric,93.957140,-87.790020,90.000000,top
