Designator,Val,Mid X,Mid Y,Rotation,Layer
R101,10k,40.703500,-42.291000,270.000000,top
R102,56/NULL,117.259000,-113.665000,0.000000,top
R103,300,129.984500,-137.287000,270.000000,top
R104,300,131.508500,-137.261500,270.000000,top
R105,300,133.032500,-137.261500,270.000000,top
R106,300,134.556500,-137.261500,270.000000,top
R107,300,136.080500,-137.261500,270.000000,top
R108,300,137.604500,-137.287000,270.000000,top
R109,300,139.128500,-137.287000,270.000000,top
R110,300,140.652500,-137.261500,270.000000,top
R111,10k,116.674900,-86.207500,90.000000,top
R112,NULL,118.198900,-86.233000,90.000000,top
R113,10k,107.658000,-95.504000,180.000000,top
R114,10k,116.878000,-79.502000,0.000000,top
R115,10k,122.009000,-79.502000,0.000000,top
R116,10k,133.820000,-114.935000,180.000000,top
R117,10k,129.705000,-114.935000,180.000000,top
R118,1k,95.059500,-40.259000,270.000000,top
R119,1k,95.059500,-46.888500,90.000000,top
R120,1k,95.059500,-52.324000,270.000000,top
R121,1k,95.059500,-58.928000,90.000000,top
R122,10k,96.583500,-40.259000,270.000000,top
R123,10k,96.583500,-46.863000,90.000000,top
R124,10k,96.583500,-52.324000,270.000000,top
R125,10k,96.583500,-58.928000,90.000000,top
R126,10k,99.631500,-40.259000,90.000000,top
R127,10k,99.631500,-46.837500,270.000000,top
R128,10k,99.631500,-52.324000,90.000000,top
R129,10k,99.631500,-58.928000,270.000000,top
R130,1k,95.059500,-64.516000,270.000000,top
R131,1k,95.059500,-71.120000,90.000000,top
R132,1k,95.059500,-76.962000,270.000000,top
R133,1k,95.059500,-83.566000,90.000000,top
R134,10k,96.583500,-64.516000,270.000000,top
R135,10k,96.583500,-71.120000,90.000000,top
R136,10k,96.583500,-76.962000,270.000000,top
R137,10k,96.583500,-83.566000,90.000000,top
R138,10k,99.631500,-64.516000,90.000000,top
R139,10k,99.631500,-71.120000,270.000000,top
R140,10k,99.631500,-76.962000,90.000000,top
R141,10k,99.631500,-83.566000,270.000000,top
R142,1k,95.059500,-89.281000,270.000000,top
R143,1k,95.059500,-95.885000,90.000000,top
R144,10k,96.583500,-89.281000,270.000000,top
R145,10k,96.583500,-95.885000,90.000000,top
R146,10k,99.631500,-89.281000,90.000000,top
R147,10k,99.631500,-95.885000,270.000000,top
R148,1k,76.771500,-37.465000,180.000000,top
R149,10k,76.771500,-38.989000,0.000000,top
R150,1k,95.059500,-101.600000,270.000000,top
R151,1k,95.059500,-108.077000,90.000000,top
R152,10k,96.583500,-101.600000,270.000000,top
